ExtensionSimpleMultimedia:identifier,ExtensionSimpleMultimedia:rightsHolder,ExtensionSimpleMultimedia:license,occurrenceID,type,identifier,rightsHolder,publisher,license,datasetID
"<a href=""https://resolver.libis.be/FL17305889/stream"" target=""_url_details"">https://resolver.libis.be/FL17305889/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000009,StillImage,"<a href=""https://resolver.libis.be/FL17305889/stream"" target=""_url_details"">https://resolver.libis.be/FL17305889/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305890/stream"" target=""_url_details"">https://resolver.libis.be/FL17305890/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000009,StillImage," <a href=""https://resolver.libis.be/FL17305890/stream"" target=""_url_details"">https://resolver.libis.be/FL17305890/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17305903/stream"" target=""_url_details"">https://resolver.libis.be/FL17305903/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000010,StillImage,"<a href=""https://resolver.libis.be/FL17305903/stream"" target=""_url_details"">https://resolver.libis.be/FL17305903/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305904/stream"" target=""_url_details"">https://resolver.libis.be/FL17305904/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000010,StillImage," <a href=""https://resolver.libis.be/FL17305904/stream"" target=""_url_details"">https://resolver.libis.be/FL17305904/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305905/stream"" target=""_url_details"">https://resolver.libis.be/FL17305905/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000010,StillImage," <a href=""https://resolver.libis.be/FL17305905/stream"" target=""_url_details"">https://resolver.libis.be/FL17305905/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17305918/stream"" target=""_url_details"">https://resolver.libis.be/FL17305918/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000011,StillImage,"<a href=""https://resolver.libis.be/FL17305918/stream"" target=""_url_details"">https://resolver.libis.be/FL17305918/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305919/stream"" target=""_url_details"">https://resolver.libis.be/FL17305919/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000011,StillImage," <a href=""https://resolver.libis.be/FL17305919/stream"" target=""_url_details"">https://resolver.libis.be/FL17305919/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305920/stream"" target=""_url_details"">https://resolver.libis.be/FL17305920/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000011,StillImage," <a href=""https://resolver.libis.be/FL17305920/stream"" target=""_url_details"">https://resolver.libis.be/FL17305920/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17305931/stream"" target=""_url_details"">https://resolver.libis.be/FL17305931/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000012,StillImage,"<a href=""https://resolver.libis.be/FL17305931/stream"" target=""_url_details"">https://resolver.libis.be/FL17305931/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305932/stream"" target=""_url_details"">https://resolver.libis.be/FL17305932/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000012,StillImage," <a href=""https://resolver.libis.be/FL17305932/stream"" target=""_url_details"">https://resolver.libis.be/FL17305932/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
