individualCount,sex,lifeStage,ExtensionSimpleMultimedia:identifier,ExtensionSimpleMultimedia:rightsHolder,ExtensionSimpleMultimedia:license,type,language,license,rightsHolder,accessRights,datasetID,institutionCode,collectionCode,basisOfRecord,recordedBy,otherCatalogNumbers,occurrenceRemarks,previousIdentifications,organismRemarks,verbatimLabel,preparations,eventDate,georeferenceRemarks,decimalLongitude,decimalLatitude,kingdom
1,,juvenile,"<a href=""https://resolver.libis.be/FL17305889/stream"" target=""_url_details"">https://resolver.libis.be/FL17305889/stream</a>; <a href=""https://resolver.libis.be/FL17305890/stream"" target=""_url_details"">https://resolver.libis.be/FL17305890/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,10,Frans Pas Collection,,pas collection stuffed birds,Kleine Zwaan<br/>Cygnus bewichii<br/>Rijkevorsel<br/>Februari<br/>10<br/>Juv. 1e winter,mounted: mounted skin,,coordinates are centroid of municipality,4.75851,51.35037,Animalia
1,,adult,"<a href=""https://resolver.libis.be/FL17305903/stream"" target=""_url_details"">https://resolver.libis.be/FL17305903/stream</a>; <a href=""https://resolver.libis.be/FL17305904/stream"" target=""_url_details"">https://resolver.libis.be/FL17305904/stream</a>; <a href=""https://resolver.libis.be/FL17305905/stream"" target=""_url_details"">https://resolver.libis.be/FL17305905/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,149,Frans Pas Collection,,pas collection stuffed birds,149<br/>Knobbelzwaan<br/>cygnus olor<br/>praktisch volwassen<br/>2e winter,mounted: mounted skin,,unable to georeference,,,Animalia
1,male,adult,"<a href=""https://resolver.libis.be/FL17305918/stream"" target=""_url_details"">https://resolver.libis.be/FL17305918/stream</a>; <a href=""https://resolver.libis.be/FL17305919/stream"" target=""_url_details"">https://resolver.libis.be/FL17305919/stream</a>; <a href=""https://resolver.libis.be/FL17305920/stream"" target=""_url_details"">https://resolver.libis.be/FL17305920/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,776,Frans Pas Collection,,pas collection stuffed birds,"776<br/>Roodkeelduiker<br/>gavia stellata<br/>ad ♂<br/>prachtkleed<br/>Groenland<br/>East Greenland<br/>Scoresbysund<br/>5.6.1970<br/>4-3<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25",mounted: mounted skin,1970-06-05,coordinates are centroid of municipality,-40,66,Animalia
1,,adult,"<a href=""https://resolver.libis.be/FL17305931/stream"" target=""_url_details"">https://resolver.libis.be/FL17305931/stream</a>; <a href=""https://resolver.libis.be/FL17305932/stream"" target=""_url_details"">https://resolver.libis.be/FL17305932/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,771,Frans Pas Collection,,pas collection stuffed birds,Gavia immer<br/>Ijsduiker<br/>Prachtkleed kop + hals in rui<br/>Groenland<br/>ad<br/>771<br/>E. Hansen<br/>29-10-1977,mounted: mounted skin,1977-10-29,coordinates are centroid of the country,-40.42629,71.81718,Animalia
1,,adult,"<a href=""https://resolver.libis.be/FL17305943/stream"" target=""_url_details"">https://resolver.libis.be/FL17305943/stream</a>; <a href=""https://resolver.libis.be/FL17305944/stream"" target=""_url_details"">https://resolver.libis.be/FL17305944/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,1251,Frans Pas Collection,,pas collection stuffed birds,1251<br/>Ijsland<br/>Roodkeelduiker<br/>Gavia stellata<br/>slachtoffer in visnetten<br/>ad,mounted: mounted skin,,coordinates are centroid of the country,-18.43852,64.96626,Animalia
1,,adult,"<a href=""https://resolver.libis.be/FL17305955/stream"" target=""_url_details"">https://resolver.libis.be/FL17305955/stream</a>; <a href=""https://resolver.libis.be/FL17305956/stream"" target=""_url_details"">https://resolver.libis.be/FL17305956/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,100,Frans Pas Collection,,pas collection stuffed birds,100<br/>Parelduiker<br/>Gavia arctica<br/>ad<br/>winterkleed<br/>Duitsland,mounted: mounted skin,,coordinates are centroid of the country,6.70723,51.44282,Animalia
1,,adult,"<a href=""https://resolver.libis.be/FL17305967/stream"" target=""_url_details"">https://resolver.libis.be/FL17305967/stream</a>; <a href=""https://resolver.libis.be/FL17305968/stream"" target=""_url_details"">https://resolver.libis.be/FL17305968/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,366,Frans Pas Collection,,pas collection stuffed birds,366<br/>Parelduiker<br/>gavia arctica<br/>ad. <br/>winterkleed<br/>Duitsland<br/>Noord-Duitsland,mounted: mounted skin,,coordinates are centroid of the country,6.70723,51.44282,Animalia
1,,adult,"<a href=""https://resolver.libis.be/FL17305996/stream"" target=""_url_details"">https://resolver.libis.be/FL17305996/stream</a>; <a href=""https://resolver.libis.be/FL17305997/stream"" target=""_url_details"">https://resolver.libis.be/FL17305997/stream</a>; <a href=""https://resolver.libis.be/FL17305998/stream"" target=""_url_details"">https://resolver.libis.be/FL17305998/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,936,Frans Pas Collection,,pas collection stuffed birds,"936<br/>Roodkeelduiker<br/>Gavia stellata<br/>ad<br/>winterkleed<br/>Rødstrubet lom<br/>370/<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25",mounted: mounted skin,,unable to georeference,,,Animalia
1,female,adult,"<a href=""https://resolver.libis.be/FL17305986/stream"" target=""_url_details"">https://resolver.libis.be/FL17305986/stream</a>; <a href=""https://resolver.libis.be/FL17305987/stream"" target=""_url_details"">https://resolver.libis.be/FL17305987/stream</a>; <a href=""https://resolver.libis.be/FL17305988/stream"" target=""_url_details"">https://resolver.libis.be/FL17305988/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,772,Frans Pas Collection,,pas collection stuffed birds,"772<br/>Parelduiker<br/>gavia arctica<br/>ad ♀<br/>prachtkleed<br/>Noord-Noorwegen<br/>Hægebosta Agder North Norway<br/>28-05-1973<br/>Konservator Thorkil Duch, Sct. Laurentij Vej 14, 9990 Skagen, (08) 44 37 25<br/>1-2",mounted: mounted skin,1973-05-28,coordinates are centroid of municipality,7.22892,58.47639,Animalia
1,male,adult,"<a href=""https://resolver.libis.be/FL17306011/stream"" target=""_url_details"">https://resolver.libis.be/FL17306011/stream</a>; <a href=""https://resolver.libis.be/FL17306012/stream"" target=""_url_details"">https://resolver.libis.be/FL17306012/stream</a>; <a href=""https://resolver.libis.be/FL17306013/stream"" target=""_url_details"">https://resolver.libis.be/FL17306013/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,775,Frans Pas Collection,,pas collection stuffed birds,"775<br/>Geelsnavelduiker<br/>gavia adamsii<br/>ad<br/> ♂<br/>winterkleed<br/>Denemarken<br/>Grenen Skagen<br/>11.12.1975<br/>3-1<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25",mounted: mounted skin,1975-12-11,coordinates are centroid of municipality,10.53362,57.44121,Animalia
1,male,adult,"<a href=""https://resolver.libis.be/FL17306026/stream"" target=""_url_details"">https://resolver.libis.be/FL17306026/stream</a>; <a href=""https://resolver.libis.be/FL17306027/stream"" target=""_url_details"">https://resolver.libis.be/FL17306027/stream</a>; <a href=""https://resolver.libis.be/FL17306028/stream"" target=""_url_details"">https://resolver.libis.be/FL17306028/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,999,Frans Pas Collection,,pas collection stuffed birds,"999<br/>Ooievaar (witte)<br/>ciconia ciconia<br/>ad ♂<br/>juli<br/>Konservator J. Kofoed's eftf., Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25<br/>2099- [Ygy]<br/>Hvid stork<br/>Ciconia ciconia<br/>25-/",mounted: mounted skin,,unable to georeference,,,Animalia
1,undetermined,,"<a href=""https://resolver.libis.be/FL17306039/stream"" target=""_url_details"">https://resolver.libis.be/FL17306039/stream</a>; <a href=""https://resolver.libis.be/FL17306040/stream"" target=""_url_details"">https://resolver.libis.be/FL17306040/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,117,Frans Pas Collection,,pas collection stuffed birds,117<br/>Ooievaar<br/>ciconea ciconea<br/>Westmalle,mounted: mounted skin,,coordinates are centroid of municipality,4.69331,51.29701,Animalia
1,,adult,"<a href=""https://resolver.libis.be/FL17306051/stream"" target=""_url_details"">https://resolver.libis.be/FL17306051/stream</a>; <a href=""https://resolver.libis.be/FL17306052/stream"" target=""_url_details"">https://resolver.libis.be/FL17306052/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,472,Frans Pas Collection,,pas collection stuffed birds,472<br/>Zwarte Ooievaar<br/>ciconia nigra<br/>ad<br/>Duitsland,mounted: mounted skin,,coordinates are centroid of the country,6.70723,51.44282,Animalia
1,male,adult,"<a href=""https://resolver.libis.be/FL17306063/stream"" target=""_url_details"">https://resolver.libis.be/FL17306063/stream</a>; <a href=""https://resolver.libis.be/FL17306064/stream"" target=""_url_details"">https://resolver.libis.be/FL17306064/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,1000,Frans Pas Collection,,pas collection stuffed birds,1000<br/>Zwarte ooievaar<br/>ciconia nigra<br/>ad ♂<br/>juni,mounted: mounted skin,,unable to georeference,,,Animalia
1,undetermined,,"<a href=""https://resolver.libis.be/FL17306077/stream"" target=""_url_details"">https://resolver.libis.be/FL17306077/stream</a>; <a href=""https://resolver.libis.be/FL17306078/stream"" target=""_url_details"">https://resolver.libis.be/FL17306078/stream</a>; <a href=""https://resolver.libis.be/FL17306079/stream"" target=""_url_details"">https://resolver.libis.be/FL17306079/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,PhysicalObject,en,http://creativecommons.org/publicdomain/zero/1.0/,KU Leuven,http://www.inbo.be/en/norms-for-data-use,insert doi,KU Leuven,Museum of Zoology,preservedSpecimen,,663,Frans Pas Collection,,pas collection stuffed birds,"Vermoedelijk 2e jaar --> snavel geel, verlengde rugveren nog gering in aantal<br/>Silberreiher<br/>Casmerodius albus<br/>A. SCHLÜTER KG., Naturw. Lehrmittelanstalt, Winnenden b. Stgt.",mounted: mounted skin,,unable to georeference,,,Animalia
