dwc:catalogNumber,dwc:ownerInstitutionCode,dwc:collectionCode,dwc:otherCatalogNumbers,dwc:individualCount,dcw:verbatimLabel,dwc:preparations,ABCD:KindOfUnit,dwc:sex,dwc:lifeStage,dwc:scientificName,dwc:taxonRank,dwc:typeStatus,dwc:vernacularName,dwc:previousIdentifications,dwc:eventDate_from,dwc:eventDate_to,dwc:recordedBy_collector,dwc:continent,dwc:countryCode,dwc:country,dwc:locality,dwc:decimalLongitude,dwc:decimalLatitude,dwc:coordinateUncertaintyInMeters,Spectrum:acquisitionMethod,Spectrum:acquisitionSource,Spectrum:acquisitionDate,dwc_ExtensionSimpleMultimedia:identifier,dwc_ExtensionSimpleMultimedia:rightsHolder,dwc_ExtensionSimpleMultimedia:license
MUD000009,KU Leuven,Museum of Zoology,10,1,"Kleine Zwaan<br/>Cygnus bewichii<br/>Rijkevorsel<br/>Februari<br/>10<br/>Juv. 1e winter","mounted: mounted skin",complete specimen,,juvenile,"Cygnus columbianus bewickii Yarrell, 1830",species,not applicable,Tundra Swan ssp.  bewickii,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305889/stream"" target=""_url_details"">https://resolver.libis.be/FL17305889/stream</a>; <a href=""https://resolver.libis.be/FL17305890/stream"" target=""_url_details"">https://resolver.libis.be/FL17305890/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000010,KU Leuven,Museum of Zoology,149,1,"149<br/>Knobbelzwaan<br/>cygnus olor<br/>praktisch volwassen<br/>2e winter","mounted: mounted skin",complete specimen,,adult,"Cygnus olor (Gmelin, 1789)",species,not applicable,Mute Swan,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305903/stream"" target=""_url_details"">https://resolver.libis.be/FL17305903/stream</a>; <a href=""https://resolver.libis.be/FL17305904/stream"" target=""_url_details"">https://resolver.libis.be/FL17305904/stream</a>; <a href=""https://resolver.libis.be/FL17305905/stream"" target=""_url_details"">https://resolver.libis.be/FL17305905/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000011,KU Leuven,Museum of Zoology,776,1,"776<br/>Roodkeelduiker<br/>gavia stellata<br/>ad ♂<br/>prachtkleed<br/>Groenland<br/>East Greenland<br/>Scoresbysund<br/>5.6.1970<br/>4-3<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25","mounted: mounted skin",complete specimen,male,adult,"Gavia stellata (Pontoppidan, 1763)",species,not applicable,"Red-throated Loon",,June 5 1970,,,North America,GL,Greenland,"Sermersooq, Scoresby Sund",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305918/stream"" target=""_url_details"">https://resolver.libis.be/FL17305918/stream</a>; <a href=""https://resolver.libis.be/FL17305919/stream"" target=""_url_details"">https://resolver.libis.be/FL17305919/stream</a>; <a href=""https://resolver.libis.be/FL17305920/stream"" target=""_url_details"">https://resolver.libis.be/FL17305920/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000012,KU Leuven,Museum of Zoology,771,1,"Gavia immer<br/>Ijsduiker<br/>Prachtkleed kop + hals in rui<br/>Groenland<br/>ad<br/>771<br/>E. Hansen<br/>29-10-1977","mounted: mounted skin",complete specimen,,adult,"Gavia immer (Brunnich, 1764)",species,not applicable,Great Northern Loon,,October 29 1977,,,North America,GL,Greenland,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305931/stream"" target=""_url_details"">https://resolver.libis.be/FL17305931/stream</a>; <a href=""https://resolver.libis.be/FL17305932/stream"" target=""_url_details"">https://resolver.libis.be/FL17305932/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000013,KU Leuven,Museum of Zoology,1251,1,"1251<br/>Ijsland<br/>Roodkeelduiker<br/>Gavia stellata<br/>slachtoffer in visnetten<br/>ad","mounted: mounted skin",complete specimen,,adult,"Gavia stellata (Pontoppidan, 1763)",species,not applicable,"Red-throated Loon",,,,,Europe,IS,Iceland,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305943/stream"" target=""_url_details"">https://resolver.libis.be/FL17305943/stream</a>; <a href=""https://resolver.libis.be/FL17305944/stream"" target=""_url_details"">https://resolver.libis.be/FL17305944/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000014,KU Leuven,Museum of Zoology,100,1,"100<br/>Parelduiker<br/>Gavia arctica<br/>ad<br/>winterkleed<br/>Duitsland","mounted: mounted skin",complete specimen,,adult,"Gavia arctica (Linnaeus, 1758)",species,not applicable,"Black-throated Loon",,,,,Europe,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305955/stream"" target=""_url_details"">https://resolver.libis.be/FL17305955/stream</a>; <a href=""https://resolver.libis.be/FL17305956/stream"" target=""_url_details"">https://resolver.libis.be/FL17305956/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000015,KU Leuven,Museum of Zoology,366,1,"366<br/>Parelduiker<br/>gavia arctica<br/>ad. <br/>winterkleed<br/>Duitsland<br/>Noord-Duitsland","mounted: mounted skin",complete specimen,,adult,"Gavia arctica (Linnaeus, 1758)",species,not applicable,"Black-throated Loon",,,,,Europe,DE,Germany,Northern Germany,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305967/stream"" target=""_url_details"">https://resolver.libis.be/FL17305967/stream</a>; <a href=""https://resolver.libis.be/FL17305968/stream"" target=""_url_details"">https://resolver.libis.be/FL17305968/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000016,KU Leuven,Museum of Zoology,936,1,"936<br/>Roodkeelduiker<br/>Gavia stellata<br/>ad<br/>winterkleed<br/>Rødstrubet lom<br/>370/<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25","mounted: mounted skin",complete specimen,,adult,"Gavia stellata (Pontoppidan, 1763)",species,not applicable,"Red-throated Loon",,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305996/stream"" target=""_url_details"">https://resolver.libis.be/FL17305996/stream</a>; <a href=""https://resolver.libis.be/FL17305997/stream"" target=""_url_details"">https://resolver.libis.be/FL17305997/stream</a>; <a href=""https://resolver.libis.be/FL17305998/stream"" target=""_url_details"">https://resolver.libis.be/FL17305998/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000017,KU Leuven,Museum of Zoology,772,1,"772<br/>Parelduiker<br/>gavia arctica<br/>ad ♀<br/>prachtkleed<br/>Noord-Noorwegen<br/>Hægebosta Agder North Norway<br/>28-05-1973<br/>Konservator Thorkil Duch, Sct. Laurentij Vej 14, 9990 Skagen, (08) 44 37 25<br/>1-2","mounted: mounted skin",complete specimen,female,adult,"Gavia arctica (Linnaeus, 1758)",species,not applicable,"Black-throated Loon",,May 28 1973,,,Europe,NO,Norway,"Agder, Hægebostad",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305986/stream"" target=""_url_details"">https://resolver.libis.be/FL17305986/stream</a>; <a href=""https://resolver.libis.be/FL17305987/stream"" target=""_url_details"">https://resolver.libis.be/FL17305987/stream</a>; <a href=""https://resolver.libis.be/FL17305988/stream"" target=""_url_details"">https://resolver.libis.be/FL17305988/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000018,KU Leuven,Museum of Zoology,775,1,"775<br/>Geelsnavelduiker<br/>gavia adamsii<br/>ad<br/> ♂<br/>winterkleed<br/>Denemarken<br/>Grenen Skagen<br/>11.12.1975<br/>3-1<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25","mounted: mounted skin",complete specimen,male,adult,"Gavia adamsii (G. R. Gray, 1859)",species,not applicable,"Yellow-billed Loon",,December 11 1975,,,Europe,DK,Denmark,"North Denmark, Frederikshavn Kommune, Skagen, Grenen",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306011/stream"" target=""_url_details"">https://resolver.libis.be/FL17306011/stream</a>; <a href=""https://resolver.libis.be/FL17306012/stream"" target=""_url_details"">https://resolver.libis.be/FL17306012/stream</a>; <a href=""https://resolver.libis.be/FL17306013/stream"" target=""_url_details"">https://resolver.libis.be/FL17306013/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
